Dept,VIH,Population,Prevalence,nb_actes_delinquance,taux_delinquance_pour_mille,tx_chomage,Revenu annuel Moyen (en millier d’euros),densite_pop,tx_pauvrete
67,90,145060,0.0620432924307183,360842,1.60493827160494,6.5,28.4,243.37,13.5
68,40,82150,0.0486914181375533,237057,1.59259259259259,7.1,30.7,217.77,13.7
69,440,267760,0.16432626232447,1150059,3.61111111111111,6.8,30.8,587.27,14.8
70,0,22460,0,66532,1.45061728395062,6.8,23.5,43.63,13.6
71,10,52750,0.018957345971564,162696,1.58641975308642,6.7,24.8,64.03,13.3
72,40,61780,0.0647458724506313,198286,1.91358024691358,7.3,24.9,91.22,13.5
73,10,49190,0.020329335230738,162738,1.91358024691358,5.7,28.8,73.87,11.2
74,90,92240,0.0975715524718127,319398,2.09259259259259,5.6,36.7,193.6,9.5
75,1170,330710,0.353784282301714,2469108,6.78395061728395,6,47.6,20054.13,15.6
76,170,148130,0.114764058597178,501011,2.18518518518519,8.3,25.4,200.77,15.4
77,240,174760,0.137331197070268,628302,2.54320987654321,7.1,29.2,245.55,12.4
78,270,178580,0.151192742748348,588757,2.2716049382716,6.9,40.3,643.75,10.5
79,20,38850,0.0514800514800515,105369,1.47530864197531,5.7,24.7,62.58,12.4
80,40,66370,0.060268193460901,223990,2.16049382716049,8.3,23.7,91.64,16.4
81,30,38960,0.0770020533880904,119517,1.62962962962963,8,23.7,68.8,15.7
82,20,27110,0.0737735153080044,78209,1.64197530864198,8.7,23,71.25,16.7
83,140,115830,0.120866787533454,520685,2.64197530864198,7.2,26.8,185.56,15.6
84,50,62890,0.0795038956908889,254686,2.60493827160494,9.8,24.1,159.42,19.9
85,40,70290,0.0569070991606203,189075,1.39506172839506,5.5,26.4,105.12,9.1
86,70,49810,0.140534029311383,144208,1.79012345679012,6.6,24.2,62.75,14.7
87,50,38650,0.129366106080207,114460,1.58024691358025,7,23.9,67.48,16.1
88,0,37130,0,115543,1.67901234567901,7.6,23.3,61.08,15.3
89,10,31720,0.0315258511979823,131663,2.12345679012346,7.4,23.8,44.95,14.9
90,0,15760,0,47264,1.7962962962963,9.2,26.9,229.72,16.3
91,330,167680,0.196803435114504,560309,2.44444444444444,6.8,30.9,733.9,13.9
92,420,215830,0.194597599962934,773270,2.70987654320988,6.5,45.1,9371.08,12.4
93,550,216180,0.254417614950504,1143531,4.14197530864198,10.6,21.5,7116.91,28.4
94,440,185130,0.23767082590612,724684,2.98148148148148,7.7,30.9,5796.37,17.2
95,260,160890,0.161601093915097,634848,2.95061728395062,NA,28.1,1019.53,17.7
971,100,37570,0.266169816342827,181998,2.58024691358025,NA,17.6,235.56,NA
972,90,33810,0.266193433895297,143284,2.07407407407407,NA,19.5,320.11,26.8
973,130,24400,0.532786885245902,135330,2.9320987654321,NA,18.3,3.45,NA
974,90,111450,0.0807537012113055,255433,1.52469135802469,NA,18.4,352.03,36.1
976,40,14890,0.268636668905306,80501,1.80246913580247,NA,12.5,NA,NA
999,18740,15688360,0.119451618907266,NA,NA,NA,NA,NA,NA
